"Model","Time","SSP","Metric","Mean_days","Median_days","Mean_fraction","Median_fraction"
"INM-CM5-0","Mid","ssp245","SM_outside",281.196232439913,254,0.367733599081892,0.33202614379085
"INM-CM5-0","Mid","ssp245","Either_outside",302.569931776921,284,0.395683973987086,0.371241830065359
"IPSL-CM6A-LR","Mid","ssp245","VPD_below",2.40564523168274,0,0.00315184303394077,0
"IPSL-CM6A-LR","Mid","ssp245","VPD_above",6.58300767134028,0,0.00860991011312147,0
"IPSL-CM6A-LR","Mid","ssp245","VPD_outside",8.98865290302301,0,0.0117617531470622,0
"IPSL-CM6A-LR","Mid","ssp245","SM_below",96.7333580576485,56,0.126473254189264,0.073202614379085
"IPSL-CM6A-LR","Mid","ssp245","SM_above",28.1801520225691,12,0.0368470614379397,0.0156862745098039
"IPSL-CM6A-LR","Mid","ssp245","SM_outside",124.913510080218,71,0.163320315627204,0.0928104575163399
"IPSL-CM6A-LR","Mid","ssp245","Either_outside",130.659068848894,82,0.170839936487138,0.10718954248366
"KACE-1-0-G","Mid","ssp245","VPD_below",72.3587103658422,56,0.095063447648855,0.073202614379085
"KACE-1-0-G","Mid","ssp245","VPD_above",88.4444957743571,78,0.116108569855209,0.103267973856209
"KACE-1-0-G","Mid","ssp245","VPD_outside",160.803206140199,134,0.211172017504064,0.17516339869281
"KACE-1-0-G","Mid","ssp245","SM_below",186.640635887214,169,0.245284037687152,0.220915032679739
"KACE-1-0-G","Mid","ssp245","SM_above",78.0480953849156,74,0.102420527843583,0.0980392156862745
"KACE-1-0-G","Mid","ssp245","SM_outside",264.688731272129,235,0.347704565530735,0.307286046409615
"KACE-1-0-G","Mid","ssp245","Either_outside",339.68492628334,345,0.445946811348161,0.450980392156863
"MIROC6","Mid","ssp245","VPD_below",30.525238767266,0,0.0399256731639768,0
"MIROC6","Mid","ssp245","VPD_above",60.6060398763636,9,0.0792631056820408,0.0117647058823529
"MIROC6","Mid","ssp245","VPD_outside",91.1312786436297,13,0.119188778846018,0.0169934640522876
"MIROC6","Mid","ssp245","SM_below",132.197896202038,65,0.172886414050517,0.0849673202614379
"MIROC6","Mid","ssp245","SM_above",26.2534233626091,7,0.0343266211076044,0.00915032679738562
"MIROC6","Mid","ssp245","SM_outside",158.451319564647,90,0.207213035158121,0.117647058823529
"MIROC6","Mid","ssp245","Either_outside",202.810660412872,167,0.265221818342716,0.218300653594771
"MPI-ESM1-2-HR","Mid","ssp245","VPD_below",4.37246729704206,0,0.00575183140617366,0
"MPI-ESM1-2-HR","Mid","ssp245","VPD_above",19.4335299777641,9,0.0254829175861565,0.0117647058823529
"MPI-ESM1-2-HR","Mid","ssp245","VPD_outside",23.8059972748061,12,0.0312347489923302,0.0156862745098039
"MPI-ESM1-2-HR","Mid","ssp245","SM_below",99.8439448319012,52,0.130770667121954,0.0679738562091503
"MPI-ESM1-2-HR","Mid","ssp245","SM_above",32.3091522537107,13,0.0423293261773727,0.0169934640522876
"MPI-ESM1-2-HR","Mid","ssp245","SM_outside",132.153097085612,69,0.173099993299327,0.0901960784313725
"MPI-ESM1-2-HR","Mid","ssp245","Either_outside",142.017654451212,84,0.186044643226652,0.109803921568627
"MPI-ESM1-2-LR","Mid","ssp245","VPD_below",3.5746122629012,0,0.00469378282369209,0
"MPI-ESM1-2-LR","Mid","ssp245","VPD_above",14.4533819853998,1,0.0189342602255565,0.00130718954248366
"MPI-ESM1-2-LR","Mid","ssp245","VPD_outside",18.027994248301,1,0.0236280430492486,0.00130718954248366
"MPI-ESM1-2-LR","Mid","ssp245","SM_below",112.336345305567,57,0.146907228688147,0.0745098039215686
"MPI-ESM1-2-LR","Mid","ssp245","SM_above",21.4851951106826,0,0.028117705222572,0
"MPI-ESM1-2-LR","Mid","ssp245","SM_outside",133.82154041625,69,0.175024933910719,0.0901960784313725
"MPI-ESM1-2-LR","Mid","ssp245","Either_outside",141.349445867879,85,0.184905055644634,0.111111111111111
"MRI-ESM2-0","Mid","ssp245","VPD_below",7.19734344483811,0,0.00940999397620535,0
"MRI-ESM2-0","Mid","ssp245","VPD_above",11.3962540037553,0,0.014899507374148,0
"MRI-ESM2-0","Mid","ssp245","VPD_outside",18.5935974485934,0,0.0243095013503533,0
"MRI-ESM2-0","Mid","ssp245","SM_below",87.5791116373764,17,0.114540459103065,0.0222222222222222
"MRI-ESM2-0","Mid","ssp245","SM_above",43.5219350785715,10,0.0569054711020254,0.0130718954248366
"MRI-ESM2-0","Mid","ssp245","SM_outside",131.101046715948,54,0.17144593020509,0.0705882352941176
"MRI-ESM2-0","Mid","ssp245","Either_outside",140.319270695143,70,0.183497735646443,0.0915032679738562
"NorESM2-LM","Mid","ssp245","VPD_below",7.08519321682882,0,0.00927077848820165,0
"NorESM2-LM","Mid","ssp245","VPD_above",22.8592564525263,13,0.0298948929577166,0.0169934640522876
"NorESM2-LM","Mid","ssp245","VPD_outside",29.9444496693551,16,0.0391656714459183,0.0209150326797386
"NorESM2-LM","Mid","ssp245","SM_below",176.714252656868,170,0.231049575203192,0.222222222222222
"NorESM2-LM","Mid","ssp245","SM_above",40.1514506452639,14,0.0524993315179087,0.0183006535947712
"NorESM2-LM","Mid","ssp245","SM_outside",216.865703302132,196,0.283548906721101,0.256209150326797
"NorESM2-LM","Mid","ssp245","Either_outside",232.300470771009,208,0.303734624842426,0.271895424836601
"NorESM2-MM","Mid","ssp245","VPD_below",7.88248831190395,0,0.0103137620822855,0
"NorESM2-MM","Mid","ssp245","VPD_above",28.1872003171458,16,0.0368723159536035,0.0209150326797386
"NorESM2-MM","Mid","ssp245","VPD_outside",36.0696886290498,19,0.047186078035889,0.0248366013071895
"NorESM2-MM","Mid","ssp245","SM_below",187.177503255699,171,0.244861838944231,0.223529411764706
"NorESM2-MM","Mid","ssp245","SM_above",42.0023551021443,26,0.0549511821588834,0.0339869281045752
"NorESM2-MM","Mid","ssp245","SM_outside",229.179858357843,212,0.299813021103114,0.277124183006536
"NorESM2-MM","Mid","ssp245","Either_outside",248.033441886568,227,0.324466181510928,0.296732026143791
"TaiESM1","Mid","ssp245","VPD_below",4.42644261085666,0,0.00579358652232785,0
"TaiESM1","Mid","ssp245","VPD_above",14.9598112821834,6,0.0195607910842185,0.00784313725490196
"TaiESM1","Mid","ssp245","VPD_outside",19.3862538930401,8,0.0253543776065463,0.0104575163398693
"TaiESM1","Mid","ssp245","SM_below",112.635055686223,95,0.147290880087646,0.124183006535948
"TaiESM1","Mid","ssp245","SM_above",73.5887794411393,50,0.0962425115764592,0.065359477124183
"TaiESM1","Mid","ssp245","SM_outside",186.223835127362,157,0.243533391664105,0.205228758169935
"TaiESM1","Mid","ssp245","Either_outside",195.417022330589,168,0.255556856359706,0.219607843137255
"CMCC-ESM2","Mid","ssp585","VPD_below",2.71047483678368,0,0.00354761041322384,0
"CMCC-ESM2","Mid","ssp585","VPD_above",28.7799407037552,18,0.0376363367322051,0.0235294117647059
"CMCC-ESM2","Mid","ssp585","VPD_outside",31.4904155405389,20,0.0411839471454289,0.0261437908496732
"CMCC-ESM2","Mid","ssp585","SM_below",159.576612136891,157,0.208660232220419,0.205228758169935
